set output "plot2.txt"
set title "ns3::RandomPropagationLossModel with Exponential Distribution"

set xlabel 'Distance'
set ylabel 'rxPower (dBm)'
set ylabel 'ryPower (dBm)'
set key top right
splot "-"  title "txPower 20dBm"
0 10.9928 -12.107
10 -24.4347 -185.877
20 -21.0169 15.7124
30 -2.89704 -3.68548
40 -44.8939 -85.965
50 9.90554 -3.50048
60 12.1817 -19.6109
70 0.913831 -5.47704
80 -2.12968 19.0978
90 9.21142 -7.26274
100 17.2976 -4.26692
110 -63.5009 15.0216
120 -168.052 -5.15077
130 -120.536 -20.775
140 -94.0365 13.2025
150 -36.7571 11.0752
160 -7.54915 10.9623
170 2.79226 7.45601
180 19.9129 0.386606
190 -21.1004 -112.438
200 -48.8221 15.1926
210 -10.3521 17.9148
220 4.00782 -10.1524
230 -37.7346 19.7815
240 -40.2925 12.2757
250 -6.92489 -94.3036
260 -33.1007 11.6691
270 -35.3807 11.8382
280 -5.49855 -207.549
290 7.90475 2.07765
300 17.5756 -4.23776
310 -18.4555 19.8294
320 -6.88716 14.7871
330 9.93409 -6.77867
340 18.8991 -85.3271
350 0.918712 -167.208
360 -124.614 -62.8806
370 -37.7281 -70.4196
380 3.9879 -18.0556
390 -43.6614 -30.4977
400 -74.3758 14.0046
410 -82.9738 -76.0154
420 -153.053 -35.4484
430 -9.82885 -72.0914
440 -25.511 -0.184077
450 -39.6818 -101.083
460 18.1407 14.6931
470 17.9813 9.30656
480 -100.174 -12.6105
490 -70.8179 -0.710177
500 15.516 -0.233722
510 -18.7256 11.5446
520 -5.80887 -36.2873
530 -33.1754 -6.144
540 18.7753 -220.171
550 -19.1814 -74.6555
560 -67.4064 -10.6731
570 -91.8036 7.30689
580 18.7945 -199.619
590 -51.7498 -7.03329
600 -127.665 -37.7545
610 -21.5541 -90.9699
620 -15.7635 -36.5047
630 8.77551 -24.936
640 7.61169 -30.2994
650 -3.54211 7.26467
660 -77.9576 13.0853
670 7.20758 -50.9039
680 8.75137 -56.4143
690 15.3371 0.936932
700 -79.8291 6.58733
710 -17.3536 -18.888
720 -1.66698 9.11832
730 6.94894 16.7507
740 -105.961 -67.5144
750 -28.4001 -10.5435
760 -30.1067 16.9265
770 -16.4352 -14.9938
780 -48.1121 -25.0299
790 -54.2519 10.821
800 -0.556869 -36.683
810 19.1607 3.76374
820 -20.7474 -63.5769
830 2.04182 -133.051
840 4.54288 14.4477
850 -46.4624 -121.163
860 -150.653 -50.3882
870 14.2293 17.9388
880 -6.4661 -1.19916
890 17.0301 -102.652
900 10.2727 19.8138
910 -38.0688 -1.17652
920 2.28168 -21.9248
930 -4.73786 -11.1844
940 -7.00159 -149.363
950 -33.0372 7.21247
960 -96.0883 -104.465
970 -10.0489 -84.1089
980 6.59507 -3.08548
990 17.5835 10.1782
1000 -88.3103 -4.55207
1010 -33.0523 -86.09
1020 16.9661 -34.2783
1030 -10.9052 5.30846
1040 9.87904 -5.81814
1050 -138.638 -11.9031
1060 -81.9291 4.98356
1070 -27.326 -20.3464
1080 -34.2921 -25.6261
1090 -12.3651 -136.864
1100 -5.74587 14.8262
1110 8.04561 18.5644
1120 -46.8382 10.5443
1130 7.13608 -99.8804
1140 9.46543 -33.7486
1150 -52.7992 14.603
1160 15.2403 9.08851
1170 -51.3373 11.1894
1180 12.5454 -99.324
1190 -19.9285 13.378
1200 15.3714 -5.24808
1210 -15.7224 12.9694
1220 -3.99446 -56.749
1230 -42.1887 -35.9528
1240 14.6519 6.52645
1250 -91.5428 -27.8911
1260 -31.2252 -15.9793
1270 -24.2979 -11.6655
1280 -17.3287 -16.1809
1290 11.1773 -10.9289
1300 9.41669 -95.6603
1310 18.0779 -18.8006
1320 19.6575 -16.302
1330 -69.6059 12.8412
1340 -18.7953 -44.6652
1350 -44.3382 -158.76
1360 19.3465 9.87007
1370 -38.6127 -89.612
1380 7.04983 -43.1564
1390 -51.0183 3.50888
1400 13.1809 -68.1509
1410 -54.45 15.1043
1420 6.68292 9.29396
1430 -51.2389 19.1408
1440 -60.6288 5.29925
1450 18.2767 1.23471
1460 -3.13841 9.77959
1470 -33.5289 -69.7568
1480 -51.3589 -137.542
1490 9.40096 14.9103
1500 -15.7894 -34.4096
1510 8.86582 -72.5478
1520 12.2068 -28.0928
1530 -30.5047 18.7645
1540 3.25539 13.1496
1550 4.66589 15.1848
1560 -25.8326 -21.7122
1570 -34.6706 14.817
1580 -87.5054 -0.485964
1590 -47.9043 -22.3482
1600 7.41703 -40.5408
1610 5.00631 4.66035
1620 -3.26364 1.0043
1630 -19.4752 -37.9449
1640 -5.2326 7.67268
1650 -4.35462 -83.5067
1660 -12.618 14.1955
1670 -218.152 -2.6164
1680 -7.55765 2.71996
1690 2.4318 -66.2228
1700 -17.1157 -188.433
1710 -47.191 -79.1593
1720 2.5156 -16.2313
1730 3.11125 -20.6209
1740 0.361299 17.9549
