set output "plot1.txt"
set title "ns3::FriisPropagationLossModel (Default Parameters)"

set xlabel 'Distance'
set ylabel 'rxPower (dBm)'
set ylabel 'ryPower (dBm)'
set key top right
splot "-"  title "txPower 20dBm"
0 20 20
10 -46.6839 -46.6839
20 -52.7045 -52.7045
30 -56.2264 -56.2264
40 -58.7251 -58.7251
50 -60.6633 -60.6633
60 -62.247 -62.247
70 -63.5859 -63.5859
80 -64.7457 -64.7457
90 -65.7688 -65.7688
100 -66.6839 -66.6839
110 -67.5118 -67.5118
120 -68.2676 -68.2676
130 -68.9628 -68.9628
140 -69.6065 -69.6065
150 -70.2058 -70.2058
160 -70.7663 -70.7663
170 -71.2929 -71.2929
180 -71.7894 -71.7894
190 -72.259 -72.259
200 -72.7045 -72.7045
210 -73.1283 -73.1283
220 -73.5324 -73.5324
230 -73.9185 -73.9185
240 -74.2882 -74.2882
250 -74.6427 -74.6427
260 -74.9834 -74.9834
270 -75.3112 -75.3112
280 -75.6271 -75.6271
290 -75.9319 -75.9319
300 -76.2264 -76.2264
310 -76.5112 -76.5112
320 -76.7869 -76.7869
330 -77.0542 -77.0542
340 -77.3135 -77.3135
350 -77.5653 -77.5653
360 -77.81 -77.81
370 -78.048 -78.048
380 -78.2796 -78.2796
390 -78.5052 -78.5052
400 -78.7251 -78.7251
410 -78.9396 -78.9396
420 -79.1489 -79.1489
430 -79.3533 -79.3533
440 -79.553 -79.553
450 -79.7482 -79.7482
460 -79.9391 -79.9391
470 -80.1259 -80.1259
480 -80.3088 -80.3088
490 -80.4878 -80.4878
500 -80.6633 -80.6633
510 -80.8353 -80.8353
520 -81.004 -81.004
530 -81.1694 -81.1694
540 -81.3318 -81.3318
550 -81.4912 -81.4912
560 -81.6477 -81.6477
570 -81.8014 -81.8014
580 -81.9525 -81.9525
590 -82.101 -82.101
600 -82.247 -82.247
610 -82.3905 -82.3905
620 -82.5318 -82.5318
630 -82.6707 -82.6707
640 -82.8075 -82.8075
650 -82.9422 -82.9422
660 -83.0748 -83.0748
670 -83.2054 -83.2054
680 -83.3341 -83.3341
690 -83.4609 -83.4609
700 -83.5859 -83.5859
710 -83.7091 -83.7091
720 -83.8306 -83.8306
730 -83.9504 -83.9504
740 -84.0686 -84.0686
750 -84.1852 -84.1852
760 -84.3002 -84.3002
770 -84.4137 -84.4137
780 -84.5258 -84.5258
790 -84.6365 -84.6365
800 -84.7457 -84.7457
810 -84.8536 -84.8536
820 -84.9602 -84.9602
830 -85.0655 -85.0655
840 -85.1695 -85.1695
850 -85.2723 -85.2723
860 -85.3739 -85.3739
870 -85.4743 -85.4743
880 -85.5736 -85.5736
890 -85.6717 -85.6717
900 -85.7688 -85.7688
910 -85.8648 -85.8648
920 -85.9597 -85.9597
930 -86.0536 -86.0536
940 -86.1465 -86.1465
950 -86.2384 -86.2384
960 -86.3294 -86.3294
970 -86.4194 -86.4194
980 -86.5084 -86.5084
990 -86.5966 -86.5966
1000 -86.6839 -86.6839
1010 -86.7704 -86.7704
1020 -86.8559 -86.8559
1030 -86.9407 -86.9407
1040 -87.0246 -87.0246
1050 -87.1077 -87.1077
1060 -87.19 -87.19
1070 -87.2716 -87.2716
1080 -87.3524 -87.3524
1090 -87.4325 -87.4325
1100 -87.5118 -87.5118
1110 -87.5904 -87.5904
1120 -87.6683 -87.6683
1130 -87.7455 -87.7455
1140 -87.822 -87.822
1150 -87.8979 -87.8979
1160 -87.9731 -87.9731
1170 -88.0476 -88.0476
1180 -88.1216 -88.1216
1190 -88.1949 -88.1949
1200 -88.2676 -88.2676
1210 -88.3396 -88.3396
1220 -88.4111 -88.4111
1230 -88.482 -88.482
1240 -88.5524 -88.5524
1250 -88.6221 -88.6221
1260 -88.6913 -88.6913
1270 -88.76 -88.76
1280 -88.8281 -88.8281
1290 -88.8957 -88.8957
1300 -88.9628 -88.9628
1310 -89.0294 -89.0294
1320 -89.0954 -89.0954
1330 -89.161 -89.161
1340 -89.226 -89.226
1350 -89.2906 -89.2906
1360 -89.3547 -89.3547
1370 -89.4183 -89.4183
1380 -89.4815 -89.4815
1390 -89.5442 -89.5442
1400 -89.6065 -89.6065
1410 -89.6683 -89.6683
1420 -89.7297 -89.7297
1430 -89.7906 -89.7906
1440 -89.8512 -89.8512
1450 -89.9113 -89.9113
1460 -89.971 -89.971
1470 -90.0303 -90.0303
1480 -90.0892 -90.0892
1490 -90.1477 -90.1477
1500 -90.2058 -90.2058
1510 -90.2635 -90.2635
1520 -90.3208 -90.3208
1530 -90.3778 -90.3778
1540 -90.4343 -90.4343
1550 -90.4906 -90.4906
1560 -90.5464 -90.5464
1570 -90.6019 -90.6019
1580 -90.6571 -90.6571
1590 -90.7119 -90.7119
1600 -90.7663 -90.7663
1610 -90.8204 -90.8204
1620 -90.8742 -90.8742
1630 -90.9277 -90.9277
1640 -90.9808 -90.9808
1650 -91.0336 -91.0336
1660 -91.0861 -91.0861
1670 -91.1383 -91.1383
1680 -91.1901 -91.1901
1690 -91.2417 -91.2417
1700 -91.2929 -91.2929
1710 -91.3439 -91.3439
1720 -91.3945 -91.3945
1730 -91.4448 -91.4448
1740 -91.4949 -91.4949
1750 -91.5447 -91.5447
1760 -91.5942 -91.5942
1770 -91.6434 -91.6434
1780 -91.6923 -91.6923
1790 -91.741 -91.741
1800 -91.7894 -91.7894
1810 -91.8375 -91.8375
1820 -91.8854 -91.8854
1830 -91.9329 -91.9329
1840 -91.9803 -91.9803
1850 -92.0274 -92.0274
1860 -92.0742 -92.0742
1870 -92.1208 -92.1208
1880 -92.1671 -92.1671
1890 -92.2132 -92.2132
1900 -92.259 -92.259
1910 -92.3046 -92.3046
1920 -92.35 -92.35
1930 -92.3951 -92.3951
1940 -92.44 -92.44
1950 -92.4846 -92.4846
1960 -92.529 -92.529
1970 -92.5733 -92.5733
1980 -92.6172 -92.6172
1990 -92.661 -92.661
2000 -92.7045 -92.7045
2010 -92.7478 -92.7478
2020 -92.791 -92.791
2030 -92.8338 -92.8338
2040 -92.8765 -92.8765
2050 -92.919 -92.919
2060 -92.9613 -92.9613
2070 -93.0033 -93.0033
2080 -93.0452 -93.0452
2090 -93.0869 -93.0869
2100 -93.1283 -93.1283
2110 -93.1696 -93.1696
2120 -93.2106 -93.2106
2130 -93.2515 -93.2515
2140 -93.2922 -93.2922
2150 -93.3327 -93.3327
2160 -93.373 -93.373
2170 -93.4131 -93.4131
2180 -93.4531 -93.4531
2190 -93.4928 -93.4928
2200 -93.5324 -93.5324
2210 -93.5718 -93.5718
2220 -93.611 -93.611
2230 -93.65 -93.65
2240 -93.6889 -93.6889
2250 -93.7276 -93.7276
2260 -93.7661 -93.7661
2270 -93.8044 -93.8044
2280 -93.8426 -93.8426
2290 -93.8806 -93.8806
2300 -93.9185 -93.9185
2310 -93.9562 -93.9562
2320 -93.9937 -93.9937
2330 -94.031 -94.031
2340 -94.0682 -94.0682
2350 -94.1053 -94.1053
2360 -94.1422 -94.1422
2370 -94.1789 -94.1789
2380 -94.2155 -94.2155
2390 -94.2519 -94.2519
2400 -94.2882 -94.2882
2410 -94.3243 -94.3243
2420 -94.3602 -94.3602
2430 -94.3961 -94.3961
2440 -94.4317 -94.4317
2450 -94.4672 -94.4672
2460 -94.5026 -94.5026
2470 -94.5379 -94.5379
2480 -94.573 -94.573
2490 -94.6079 -94.6079
e
set title "ns3::LogDistancePropagationLossModel (Exponent = 2.5)"

set xlabel 'Distance'
set ylabel 'rxPower (dBm)'
set ylabel 'ryPower (dBm)'
set key top right
splot "-"  title "txPower 20dBm"
0 20 20
10 -51.6777 -51.6777
20 -59.2034 -59.2034
30 -63.6057 -63.6057
40 -66.7292 -66.7292
50 -69.152 -69.152
60 -71.1315 -71.1315
70 -72.8052 -72.8052
80 -74.2549 -74.2549
90 -75.5338 -75.5338
100 -76.6777 -76.6777
110 -77.7125 -77.7125
120 -78.6572 -78.6572
130 -79.5263 -79.5263
140 -80.3309 -80.3309
150 -81.08 -81.08
160 -81.7807 -81.7807
170 -82.4389 -82.4389
180 -83.0595 -83.0595
190 -83.6465 -83.6465
200 -84.2034 -84.2034
210 -84.7332 -84.7332
220 -85.2383 -85.2383
230 -85.7209 -85.7209
240 -86.183 -86.183
250 -86.6262 -86.6262
260 -87.052 -87.052
270 -87.4618 -87.4618
280 -87.8567 -87.8567
290 -88.2376 -88.2376
300 -88.6057 -88.6057
310 -88.9617 -88.9617
320 -89.3064 -89.3064
330 -89.6405 -89.6405
340 -89.9647 -89.9647
350 -90.2794 -90.2794
360 -90.5853 -90.5853
370 -90.8827 -90.8827
380 -91.1723 -91.1723
390 -91.4543 -91.4543
400 -91.7292 -91.7292
410 -91.9973 -91.9973
420 -92.2589 -92.2589
430 -92.5144 -92.5144
440 -92.764 -92.764
450 -93.008 -93.008
460 -93.2466 -93.2466
470 -93.4801 -93.4801
480 -93.7087 -93.7087
490 -93.9326 -93.9326
500 -94.152 -94.152
510 -94.367 -94.367
520 -94.5778 -94.5778
530 -94.7846 -94.7846
540 -94.9875 -94.9875
550 -95.1868 -95.1868
560 -95.3824 -95.3824
570 -95.5746 -95.5746
580 -95.7634 -95.7634
590 -95.949 -95.949
600 -96.1315 -96.1315
610 -96.3109 -96.3109
620 -96.4875 -96.4875
630 -96.6612 -96.6612
640 -96.8322 -96.8322
650 -97.0005 -97.0005
660 -97.1663 -97.1663
670 -97.3296 -97.3296
680 -97.4904 -97.4904
690 -97.6489 -97.6489
700 -97.8052 -97.8052
710 -97.9592 -97.9592
720 -98.111 -98.111
730 -98.2608 -98.2608
740 -98.4085 -98.4085
750 -98.5542 -98.5542
760 -98.698 -98.698
770 -98.84 -98.84
780 -98.9801 -98.9801
790 -99.1184 -99.1184
800 -99.2549 -99.2549
810 -99.3898 -99.3898
820 -99.523 -99.523
830 -99.6547 -99.6547
840 -99.7847 -99.7847
850 -99.9132 -99.9132
860 -100.04 -100.04
870 -100.166 -100.166
880 -100.29 -100.29
890 -100.412 -100.412
900 -100.534 -100.534
910 -100.654 -100.654
920 -100.772 -100.772
930 -100.89 -100.89
940 -101.006 -101.006
950 -101.121 -101.121
960 -101.234 -101.234
970 -101.347 -101.347
980 -101.458 -101.458
990 -101.569 -101.569
