set output "plot3.txt"
set title "ns3::NakagamiPropagationLossModel (Default Parameters)"

set xlabel 'Distance'
set ylabel 'rxPower (dBm)'
set zlabel 'Probability' offset 0,+10
set view 50, 120, 1.0, 1.0
set key top right
set ticslevel 0
set xtics offset -0.5,0
set ytics offset 0,-0.5
set xrange [100:]
splot "-"  with linespoints title "txPower 20dBm" pointtype 3 pointsize 0.5
-48 1e-05 0
-44 1e-05 0
-43 0 1e-05
-40 2e-05 0
-38 1e-05 0
-37 3e-05 0
-36 1e-05 1e-05
-35 0 2e-05
-34 0 1e-05
-33 2e-05 1e-05
-32 3e-05 2e-05
-31 4e-05 3e-05
-30 0 1e-05
-29 6e-05 2e-05
-28 2e-05 5e-05
-27 6e-05 9e-05
-26 9e-05 5e-05
-25 5e-05 4e-05
-24 9e-05 3e-05
-23 0.00013 7e-05
-22 9e-05 8e-05
-21 0.00015 8e-05
-20 0.00018 0.00022
-19 0.00025 0.00012
-18 0.00024 0.00031
-17 0.00025 0.0002
-16 0.00034 0.00032
-15 0.00034 0.00039
-14 0.0004 0.00049
-13 0.00032 0.00055
-12 0.00066 0.00072
-11 0.00061 0.00065
-10 0.0009 0.00081
-9 0.00098 0.001
-8 0.00118 0.00117
-7 0.00158 0.00132
-6 0.00157 0.00161
-5 0.00198 0.00205
-4 0.00244 0.00241
-3 0.00272 0.00285
-2 0.00302 0.00311
-1 0.00432 0.00446
0 0.00457 0.0049
1 0.00604 0.00615
2 0.0067 0.00674
3 0.00806 0.00765
4 0.00947 0.00909
5 0.01119 0.01063
6 0.01401 0.01275
7 0.01592 0.01502
8 0.01756 0.01842
9 0.02067 0.02084
10 0.02538 0.02431
11 0.02866 0.02946
12 0.03411 0.03351
13 0.03865 0.03954
14 0.04498 0.04565
15 0.05106 0.05077
16 0.05555 0.0559
17 0.06168 0.0618
18 0.06612 0.06605
19 0.06963 0.06924
20 0.07099 0.07083
21 0.06971 0.07019
22 0.06493 0.06533
23 0.05666 0.05717
24 0.04635 0.04623
25 0.03426 0.03424
26 0.02177 0.02154
27 0.01187 0.01259
28 0.00554 0.0055
29 0.00205 0.00194
30 0.00052 0.00053
31 0.00012 8e-05
32 2e-05 2e-05

-53 1e-05 0
-47 1e-05 0
-46 1e-05 0
-43 0 1e-05
-42 1e-05 1e-05
-41 1e-05 0
-39 1e-05 1e-05
-38 0 3e-05
-37 0 4e-05
-35 3e-05 0
-34 2e-05 2e-05
-33 3e-05 1e-05
-32 3e-05 2e-05
-31 1e-05 3e-05
-30 5e-05 8e-05
-29 7e-05 8e-05
-28 3e-05 5e-05
-27 3e-05 5e-05
-26 4e-05 9e-05
-25 5e-05 6e-05
-24 7e-05 6e-05
-23 7e-05 0.0001
-22 0.0001 0.00013
-21 0.00015 0.00016
-20 0.00011 0.00014
-19 0.00011 0.00017
-18 0.00023 0.00021
-17 0.00019 0.00027
-16 0.00031 0.00036
-15 0.00037 0.00039
-14 0.00053 0.00046
-13 0.00053 0.00057
-12 0.00067 0.00059
-11 0.00084 0.00077
-10 0.00083 0.00085
-9 0.00103 0.00107
-8 0.00118 0.0012
-7 0.00158 0.00138
-6 0.00155 0.00168
-5 0.00208 0.00207
-4 0.00245 0.00256
-3 0.00279 0.00281
-2 0.0033 0.00339
-1 0.00423 0.00369
-0 0.00478 0.00488
1 0.00576 0.00552
2 0.00672 0.00648
3 0.00791 0.00832
4 0.00922 0.00954
5 0.01097 0.01157
6 0.0127 0.01338
7 0.016 0.0153
8 0.01786 0.01793
9 0.02109 0.0213
10 0.02509 0.02474
11 0.03006 0.02883
12 0.03407 0.03317
13 0.03942 0.03939
14 0.04394 0.04336
15 0.04996 0.05016
16 0.05655 0.05583
17 0.06179 0.06203
18 0.067 0.0667
19 0.07028 0.07084
20 0.07147 0.0725
21 0.06944 0.06998
22 0.06454 0.06447
23 0.05678 0.05764
24 0.04672 0.04539
25 0.03347 0.0335
26 0.02098 0.02163
27 0.01193 0.01188
28 0.00513 0.00534
29 0.00191 0.00214
30 0.00055 0.00051
31 0.00012 4e-05
32 4e-05 3e-05
33 0 1e-05

-50 0 1e-05
-49 1e-05 0
-48 1e-05 0
-44 1e-05 0
-41 1e-05 0
-39 0 2e-05
-37 1e-05 2e-05
-36 0 1e-05
-35 0 2e-05
-34 2e-05 2e-05
-33 3e-05 0
-32 1e-05 3e-05
-31 1e-05 3e-05
-30 3e-05 2e-05
-29 3e-05 6e-05
-28 3e-05 6e-05
-27 5e-05 3e-05
-26 8e-05 4e-05
-25 3e-05 6e-05
