set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.224 18.4723 20.6481
0.225 12.699 21.1584
0.226 13.3559 17.2529
0.227 21.1352 21.4647
0.228 24.2449 15.3361
0.229 15.9164 24.2808
0.23 16.7133 22.7122
0.231 13.4728 23.163
0.232 17.6427 12.7756
0.233 21.2786 18.7772
0.234 15.0775 16.9819
0.235 17.7084 14.9439
0.236 25.0084 25.3536
0.237 15.6639 18.4514
0.238 17.3046 14.0402
0.239 20.5086 8.32646
0.24 24.7236 15.1592
0.241 14.6564 22.0854
0.242 19.9104 18.4893
0.243 20.3392 20.0561
0.244 22.076 22.6067
0.245 15.4466 9.75064
0.246 6.23285 19.7993
0.247 8.00225 23.5238
0.248 19.4346 15.5344
0.249 23.3953 13.8735
0.25 17.9408 17.9331
0.251 4.57197 18.28
0.252 20.3391 17.0206
0.253 19.0329 18.5938
0.254 9.29132 22.8023
0.255 20.9193 22.3319
0.256 19.3476 14.7517
0.257 11.5527 9.63083
0.258 10.9299 23.8418
0.259 24.4148 22.2682
0.26 19.0806 14.6623
0.261 23.6542 17.8024
0.262 20.5075 20.9809
0.263 19.1781 17.9787
0.264 10.557 19.3633
0.265 21.4563 21.1754
0.266 21.938 18.9346
0.267 15.141 20.8846
0.268 16.9841 17.1497
0.269 17.9679 13.3993
0.27 15.096 19.5593
0.271 11.9163 13.8807
0.272 23.658 19.1734
0.273 13.6548 8.25178
0.274 14.8375 19.8068
0.275 20.6492 22.0194
0.276 18.3711 13.1994
0.277 8.76895 17.9919
0.278 19.9236 23.899
0.279 20.4437 18.3683
0.28 23.0693 13.6423
0.281 22.7087 23.0684
0.282 14.9371 18.0837
0.283 23.9254 8.34944
0.284 14.1685 15.8589
0.285 19.927 17.5802
0.286 18.5849 23.337
0.287 20.8812 22.8763
0.288 17.8778 25.9189
0.289 26.9314 20.7325
0.29 11.8407 2.59081
0.291 13.034 21.8255
0.292 18.7788 18.3113
0.293 22.3201 8.71218
0.294 20.4231 18.5213
0.295 19.6675 9.51233
0.296 18.3787 10.481
0.297 20.9058 23.9691
0.298 15.4201 17.4164
0.299 20.2767 14.6192
0.3 22.0143 21.2679
0.301 27.0677 19.9995
0.302 19.1944 19.7147
0.303 12.3773 12.2078
0.304 21.5517 14.0742
0.305 18.8516 19.7981
0.306 11.6869 22.048
0.307 14.5811 12.954
0.308 24.9163 12.1882
0.309 23.9791 14.077
0.31 3.90452 12.2268
0.311 21.6782 23.5426
0.312 17.8523 24.3686
0.313 18.5803 17.3499
0.314 17.9124 24.3927
0.315 23.1382 19.8769
0.316 18.7155 18.5255
0.317 22.8886 15.8002
0.318 25.9853 19.8898
0.319 22.4328 16.3482
0.32 13.127 13.4677
0.321 21.3096 22.9099
0.322 26.8294 18.0539
0.323 14.1836 21.4455
0.324 10.8469 24.0606
0.325 14.7677 17.4957
0.326 17.4125 17.4948
0.327 18.7956 20.5492
0.328 20.7128 20.1674
0.329 11.9462 22.4227
0.33 12.5003 17.817
0.331 9.77849 20.3154
0.332 15.4927 13.4015
0.333 18.6776 21.3784
0.334 22.1786 19.643
0.335 21.8231 14.3383
0.336 17.4584 20.8086
0.337 12.2856 16.6754
0.338 19.3491 4.80419
0.339 20.0254 21.1471
0.34 20.5012 24.1254
0.341 22.5297 19.1172
0.342 17.9557 21.7502
0.343 22.8082 23.3471
0.344 18.4587 23.4573
0.345 2.63502 18.8204
0.346 23.441 18.8193
0.347 14.3071 16.2712
0.348 18.5313 1.18985
0.349 9.95301 19.7758
0.35 22.4919 24.5824
0.351 24.7187 17.3105
0.352 20.3933 18.8648
0.353 3.83469 19.7952
0.354 15.1565 19.2463
0.355 18.1041 15.4669
0.356 14.5645 15.5867
0.357 20.9977 14.4767
0.358 18.6113 15.5218
0.359 19.245 10.9524
0.36 22.8081 21.3748
0.361 24.5126 23.9666
0.362 20.0589 15.3989
0.363 13.2208 23.8403
0.364 19.4633 18.3811
0.365 17.8069 14.6875
0.366 20.4241 15.1411
0.367 25.3146 9.37455
0.368 20.7376 22.64
0.369 5.07756 13.7262
0.37 16.7969 16.7471
0.371 17.2936 8.03984
0.372 15.0349 20.9654
0.373 24.7395 24.6141
0.374 22.4019 25.4268
0.375 17.9482 15.7265
